,Amazon,Amazon Prime Music,Amazon Prime Video,Apple,Apple Music,BitTorrent,Dailymotion,Deezer,Discord,Dropbox,Facebook Messenger,Facebook TV,Gmail,Google,Google Chat,Google Docs,Google Drive,Google Earth,Google Shop,Google Translate,Gotomeeting,Instagram,Line,Meta,Microsoft Teams,Netflix,SCP,Signal,Skype,Slack,Snapchat,Spotify,Tango,Telegram,Threema,TikTok,Twitch,Viber,Webex,Wechat,Whatsapp,Youtube,Zoom,iMessage,total_flows,recall,precision,weighted_precision,f1_score
Amazon,8005,818,221,399,74,13,299,384,76,34,18,2,6,404,59,20,1,11,1,32,295,103,11,92,456,169,0,8,951,142,192,241,8,59,47,335,807,324,54,0,13,50,176,53,15463,51.77,91.04,73.94,60.9
Amazon Prime Music,1,298,11,17,2,0,3,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6,2,0,6,0,0,0,0,0,0,4,7,0,0,0,1,1,1,0,368,80.98,14.0,74.07,77.37
Amazon Prime Video,61,46,563,34,9,1,99,27,0,0,1,2,1,0,0,2,0,0,0,2,13,0,3,0,25,128,0,0,113,2,3,9,0,0,0,30,60,4,2,0,0,8,9,17,1274,44.19,36.8,60.6,51.11
Apple,4,2,4,1638,8,2,12,52,8,0,4,0,0,12,23,0,0,0,0,0,15,21,4,11,44,11,0,1,16,12,2,6,1,2,2,79,8,9,7,0,1,1,4,55,2081,78.71,27.88,38.96,52.12
Apple Music,1,6,0,111,331,0,3,17,1,1,0,0,0,5,0,2,0,0,0,0,2,0,0,1,1,3,0,0,2,0,1,3,0,0,1,44,4,0,1,0,1,0,4,4,550,60.18,30.15,75.84,67.11
BitTorrent,0,1,0,0,1,538,1,1,2,0,0,1,0,4,0,2,0,0,0,0,0,0,1,7,3,0,1,0,4,1,3,4,0,5,2,3,2,6,0,0,1,0,2,0,596,90.27,87.34,98.36,94.14
Dailymotion,34,51,37,455,6,3,2480,190,5,2,28,5,12,80,8,7,8,2,0,24,16,8,3,7,64,78,0,4,203,15,55,22,0,1,9,104,55,10,19,0,2,53,65,14,4244,58.44,59.25,58.16,58.3
Deezer,25,23,21,197,56,6,92,1503,2,9,1,0,2,37,1,0,3,0,0,8,23,0,1,3,15,9,0,0,147,2,1,14,0,7,4,76,45,13,16,0,0,16,22,15,2415,62.24,42.41,62.13,62.18
Discord,3,0,0,19,0,0,2,5,565,0,14,3,2,11,7,1,0,0,0,0,0,29,0,4,16,0,0,2,6,5,4,4,1,1,3,21,1,2,0,0,2,3,0,1,737,76.66,61.61,85.01,80.62
Dropbox,0,0,0,1,2,0,0,3,0,148,0,0,1,0,0,1,3,0,0,0,2,0,1,0,3,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,170,87.06,50.68,94.76,90.75
Facebook Messenger,2,2,0,11,0,0,10,1,47,3,1521,3,7,47,7,1,0,1,0,0,6,275,0,61,23,7,0,4,3,3,16,2,0,0,0,32,3,25,5,0,15,0,13,4,2160,70.42,58.61,69.43,69.92
Facebook TV,1,12,1,2,1,0,1,1,0,0,1,520,1,12,0,1,0,0,0,3,0,7,0,9,1,2,0,0,0,0,6,4,0,1,0,18,1,1,0,0,0,1,0,0,608,85.53,58.62,93.9,89.52
Gmail,0,7,0,6,0,0,3,0,0,0,2,0,346,6,0,13,0,0,5,5,0,4,0,0,3,1,0,0,4,1,0,0,0,0,1,18,0,1,0,0,0,0,0,2,428,80.84,47.59,91.21,85.72
Google,244,367,155,1283,165,21,439,548,49,34,100,31,283,10300,826,438,2,412,184,803,288,380,9,242,301,406,0,60,449,91,641,898,250,62,261,1479,719,391,29,6,11,1071,162,142,25032,41.15,79.19,31.33,35.57
Google Chat,0,0,0,19,0,0,0,5,6,0,2,0,0,40,662,6,0,1,0,1,2,36,0,5,8,0,0,1,6,2,17,2,8,0,4,14,2,3,1,0,1,1,1,0,856,77.34,34.68,81.6,79.41
Google Docs,0,0,0,6,2,0,0,0,0,0,0,0,1,7,0,180,0,1,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,210,85.71,21.0,76.38,80.78
Google Drive,0,0,9,0,0,0,0,0,1,1,0,0,0,1,0,2,75,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,96,78.12,66.96,96.22,86.23
Google Earth,0,0,0,3,0,0,0,0,0,0,0,0,0,14,5,9,0,331,1,3,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,377,87.8,40.66,95.69,91.58
Google Shop,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,7,0,0,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,70,72.86,19.17,94.31,82.21
Google Translate,0,0,0,3,1,0,1,1,0,0,0,0,1,2,0,2,0,0,1,119,2,0,0,0,1,1,0,0,4,0,1,1,0,0,0,2,0,0,0,0,0,0,0,3,146,81.51,7.46,75.17,78.21
Gotomeeting,25,1,2,18,0,0,6,4,0,0,7,1,0,2,0,0,0,0,0,2,1561,6,0,2,15,1,0,0,45,0,1,1,3,17,0,1,2,32,1,0,0,0,2,1,1759,88.74,56.97,74.27,80.86
Instagram,1,1,2,33,0,2,7,0,6,0,127,7,2,19,6,0,0,0,0,0,1,922,0,34,8,3,0,0,2,19,14,19,0,2,1,42,5,9,0,0,10,2,3,2,1311,70.33,27.96,54.53,61.43
Line,0,0,0,5,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,1,283,0,11,2,0,1,2,3,0,0,0,2,0,2,3,4,0,0,4,0,0,4,334,84.73,70.75,96.03,90.03
Meta,21,44,11,237,77,11,81,30,32,4,638,290,2,214,38,4,2,4,1,56,136,1174,2,3646,82,25,0,12,43,69,131,145,3,41,29,303,34,280,17,0,483,15,19,23,8509,42.85,83.43,61.52,50.52
Microsoft Teams,10,2,2,32,1,0,2,4,9,0,1,0,6,14,0,1,1,0,0,4,16,7,3,0,668,21,0,0,102,7,0,0,0,2,4,19,11,40,0,0,0,0,4,11,1004,66.53,24.75,51.16,57.85
Netflix,7,28,96,344,5,2,58,67,2,0,2,1,3,28,3,0,0,0,0,200,3,20,10,9,8,3808,1,0,30,1,48,121,0,2,5,125,171,14,22,0,0,6,35,57,5342,71.28,67.84,60.0,65.16
SCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,62.5,26.32,98.23,76.39
Signal,0,0,0,0,0,0,0,0,0,0,3,0,3,3,2,0,0,0,0,0,25,6,0,0,6,1,0,305,2,1,1,0,2,1,4,0,0,4,0,0,1,0,0,1,371,82.21,67.78,89.44,85.67
Skype,49,24,21,28,4,5,35,24,17,14,66,0,1,39,29,7,1,2,0,10,102,16,23,15,628,119,2,1,2977,53,1,8,10,2,15,51,9,77,5,0,0,0,45,27,4562,65.26,53.92,48.72,55.79
Slack,0,1,2,4,0,0,4,0,5,1,1,0,0,8,1,0,0,0,0,0,0,1,0,3,11,5,0,0,5,275,2,2,0,2,8,13,1,3,0,0,1,0,0,0,359,76.6,32.31,65.29,70.49
Snapchat,2,6,1,54,0,2,38,20,7,0,2,0,0,130,11,0,3,0,0,1,1,31,0,27,10,16,0,0,11,5,687,46,8,0,8,37,18,38,0,1,1,13,3,0,1238,55.49,31.02,67.99,61.11
Spotify,123,40,141,235,133,0,128,403,36,9,2,11,7,313,120,81,5,4,15,141,31,58,1,7,51,234,1,13,94,36,98,4100,1,7,8,186,280,16,23,0,1,34,30,3,7260,56.47,69.02,66.49,61.07
Tango,0,0,0,1,0,0,0,0,1,1,1,0,0,4,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,3,0,136,1,0,2,5,3,0,0,1,0,1,1,167,81.44,28.94,92.26,86.51
