,Amazon,Amazon Prime Music,Amazon Prime Video,Apple,Apple Music,BitTorrent,Dailymotion,Deezer,Discord,Dropbox,Facebook Messenger,Facebook TV,Gmail,Google,Google Chat,Google Docs,Google Drive,Google Earth,Google Shop,Google Translate,Gotomeeting,Instagram,Line,Meta,Microsoft Teams,Netflix,SCP,Signal,Skype,Slack,Snapchat,Spotify,Tango,Telegram,Threema,TikTok,Twitch,Viber,Webex,Wechat,Whatsapp,Youtube,Zoom,iMessage,total_flows,recall,precision,weighted_precision,f1_score
Amazon,7592,1026,241,561,29,12,324,179,136,8,74,5,40,795,87,13,3,50,12,17,253,70,4,76,323,199,0,35,427,197,283,79,3,36,110,176,1151,206,163,2,2,173,261,30,15463,49.1,94.44,81.96,61.41
Amazon Prime Music,1,320,10,2,6,0,3,0,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,7,0,0,0,0,5,1,0,368,86.96,11.46,72.51,79.08
Amazon Prime Video,7,49,775,24,9,1,106,28,3,2,0,2,12,12,0,1,1,1,0,1,13,0,0,0,16,23,0,0,27,21,18,19,0,0,0,12,34,6,0,0,1,24,16,10,1274,60.83,40.81,71.26,65.63
Apple,3,7,3,1631,47,6,17,37,18,5,9,1,0,11,31,0,0,0,0,0,18,7,7,7,59,21,0,1,3,11,6,7,0,2,11,22,4,1,22,0,1,0,11,34,2081,78.38,44.02,56.48,65.65
Apple Music,0,5,1,57,394,0,4,15,1,0,0,1,0,3,0,1,0,2,0,0,5,1,0,1,2,6,0,0,0,2,7,4,0,0,0,25,6,1,2,0,0,0,2,2,550,71.64,43.92,79.89,75.54
BitTorrent,0,0,1,4,1,514,3,2,1,2,0,0,0,4,3,0,0,0,0,0,2,1,0,6,4,8,0,0,2,0,0,2,1,3,2,9,0,0,1,1,9,7,3,0,596,86.24,83.04,97.73,91.63
Dailymotion,35,92,133,199,9,2,2606,115,7,0,4,13,59,128,17,22,0,11,0,0,27,8,2,5,71,31,0,0,140,7,17,23,2,2,6,51,95,15,25,2,18,130,110,5,4244,61.4,60.49,56.65,58.93
Deezer,28,32,27,89,165,2,177,1248,21,3,0,2,3,145,43,5,0,7,5,0,8,2,3,7,44,25,0,1,37,2,22,54,2,0,12,18,92,2,49,1,1,4,15,12,2415,51.68,54.64,69.97,59.45
Discord,9,4,0,6,0,1,6,1,610,0,6,0,2,7,14,1,1,0,0,0,0,24,0,1,2,0,0,0,1,4,5,0,0,0,9,16,4,1,0,0,0,1,0,1,737,82.77,49.15,73.3,77.75
Dropbox,0,1,0,3,1,0,0,0,0,145,0,0,0,0,1,0,5,1,0,0,1,0,0,2,3,0,0,0,0,0,0,1,1,0,1,2,0,0,1,0,0,1,0,0,170,85.29,48.99,93.17,89.06
Facebook Messenger,0,0,1,1,1,2,8,0,21,0,1695,1,7,26,22,3,0,35,0,0,10,145,1,62,14,1,0,3,5,9,2,10,7,0,10,5,1,17,9,0,14,4,6,2,2160,78.47,59.35,68.18,72.96
Facebook TV,0,2,2,0,0,0,1,0,1,0,1,549,0,11,0,0,1,1,0,0,0,4,0,7,0,4,0,0,0,0,2,10,0,3,0,3,5,1,0,0,0,0,0,0,608,90.3,55.91,92.96,91.61
Gmail,0,4,0,8,1,0,1,0,1,0,2,0,364,12,1,8,0,5,3,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,4,3,1,0,0,0,1,0,1,428,85.05,34.11,87.43,86.22
Google,186,797,138,409,68,31,328,230,84,33,99,40,368,10355,1689,257,47,890,349,326,125,239,4,233,127,239,0,43,212,82,764,1033,121,64,434,313,1174,222,63,12,105,2399,264,36,25032,41.37,71.73,26.83,32.55
Google Chat,0,0,0,14,0,0,3,2,3,0,5,0,1,53,696,2,0,0,8,4,1,3,0,0,3,0,0,1,3,0,3,3,3,1,29,8,3,1,0,0,1,2,0,0,856,81.31,21.3,65.83,72.75
Google Docs,0,0,0,1,1,0,0,0,0,0,0,0,1,5,2,186,0,2,1,3,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,210,88.57,32.01,91.83,90.17
Google Drive,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,88,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,91.67,44.22,92.35,92.01
Google Earth,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,2,0,362,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,96.02,21.45,81.75,88.32
Google Shop,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,2,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,88.57,12.92,90.71,89.63
