,Amazon,Amazon Prime Music,Amazon Prime Video,Apple,Apple Music,BitTorrent,Dailymotion,Deezer,Discord,Dropbox,Facebook Messenger,Facebook TV,Gmail,Google,Google Chat,Google Docs,Google Drive,Google Earth,Google Shop,Google Translate,Gotomeeting,Instagram,Line,Meta,Microsoft Teams,Netflix,SCP,Signal,Skype,Slack,Snapchat,Spotify,Tango,Telegram,Threema,TikTok,Twitch,Viber,Webex,Wechat,Whatsapp,Youtube,Zoom,iMessage,total_flows,recall,precision,weighted_precision,f1_score
Amazon,8022,1049,371,385,28,13,127,126,129,7,41,4,15,345,121,11,3,19,2,30,261,41,18,68,442,261,0,11,625,151,291,147,8,46,97,234,1195,310,43,2,5,56,254,49,15463,51.88,88.19,68.71,59.12
Amazon Prime Music,5,312,6,3,2,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,1,1,0,1,11,3,0,0,0,0,0,1,0,368,84.78,11.66,74.33,79.21
Amazon Prime Video,25,30,690,16,2,0,70,0,0,0,0,0,1,2,0,3,1,1,0,1,11,1,0,0,35,163,0,0,24,5,10,0,0,0,0,43,95,9,0,0,1,21,10,4,1274,54.16,33.74,69.15,60.74
Apple,11,1,3,1510,42,6,12,35,8,4,3,0,1,12,56,3,0,2,0,1,10,13,6,10,54,24,0,1,5,27,8,4,1,3,5,38,40,2,9,1,2,7,7,94,2081,72.56,34.14,49.78,59.05
Apple Music,0,3,1,50,379,0,0,9,1,2,0,0,0,2,1,1,0,1,0,0,0,0,5,0,1,11,0,0,1,2,0,2,0,1,1,36,21,0,0,1,0,3,1,14,550,68.91,36.1,80.4,74.21
BitTorrent,0,0,0,2,1,547,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,1,0,6,1,4,6,2,3,2,0,0,1,0,2,4,0,596,91.78,74.22,95.44,93.57
Dailymotion,49,60,199,278,15,2,2156,102,8,0,5,12,8,106,30,15,0,8,0,2,14,8,2,3,128,141,0,4,144,26,52,25,0,2,2,173,134,3,3,0,13,158,104,50,4244,50.8,67.59,63.46,56.43
Deezer,90,32,18,138,77,11,134,1223,10,21,0,0,1,52,6,2,0,0,0,0,10,0,3,4,41,21,0,0,105,2,7,46,0,6,6,48,154,2,43,3,5,48,32,14,2415,50.64,58.54,73.85,60.08
Discord,1,0,1,7,0,0,2,0,608,0,7,2,0,4,15,0,0,0,0,0,0,6,1,2,4,4,0,1,5,15,8,2,5,0,7,25,2,1,0,0,2,0,0,0,737,82.5,51.83,83.83,83.16
Dropbox,0,1,0,0,4,1,0,0,1,148,0,0,0,0,0,0,1,1,0,0,3,0,0,0,2,0,0,0,0,1,0,1,1,0,0,2,2,0,0,0,1,0,0,0,170,87.06,55.22,92.99,89.93
Facebook Messenger,2,2,1,21,0,0,2,3,62,0,1606,2,2,11,20,0,0,2,0,0,14,209,0,32,8,3,0,4,8,20,24,0,0,0,11,32,4,18,7,0,7,0,19,4,2160,74.35,63.33,74.62,74.48
Facebook TV,1,1,3,5,1,0,1,0,0,0,1,516,0,9,0,0,0,0,0,1,0,1,0,2,1,3,0,0,0,0,27,15,0,1,0,11,6,0,0,0,1,1,0,0,608,84.87,58.84,93.93,89.17
Gmail,0,3,0,9,0,0,2,0,0,0,3,0,353,12,2,7,0,2,1,6,1,0,1,1,3,0,0,0,1,1,1,0,0,0,2,7,3,0,0,0,0,4,1,2,428,82.48,56.84,94.95,88.28
Google,322,718,224,970,199,48,227,262,37,17,60,15,169,8156,1677,184,14,939,296,237,158,178,14,233,299,342,0,31,230,82,1099,836,131,52,515,648,1641,354,35,4,53,3005,196,125,25032,32.58,79.28,33.68,33.12
Google Chat,0,0,0,17,1,2,0,2,2,2,1,0,0,24,718,1,0,6,7,0,3,1,0,1,0,3,0,2,1,3,5,0,10,1,25,6,2,4,2,0,2,2,0,0,856,83.88,21.48,68.17,75.21
Google Docs,0,1,0,2,1,0,0,0,0,0,0,0,1,5,1,180,0,2,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,4,0,3,210,85.71,38.38,90.96,88.26
Google Drive,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,86,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96,89.58,65.65,98.15,93.67
Google Earth,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,4,0,356,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,377,94.43,25.52,90.85,92.6
