,Amazon,Amazon Prime Music,Amazon Prime Video,Apple,Apple Music,BitTorrent,Dailymotion,Deezer,Discord,Dropbox,Facebook Messenger,Facebook TV,Gmail,Google,Google Chat,Google Docs,Google Drive,Google Earth,Google Shop,Google Translate,Gotomeeting,Instagram,Line,Meta,Microsoft Teams,Netflix,SCP,Signal,Skype,Slack,Snapchat,Spotify,Tango,Telegram,Threema,TikTok,Twitch,Viber,Webex,Wechat,Whatsapp,Youtube,Zoom,iMessage,total_flows,recall,precision,weighted_precision,f1_score
Amazon,7299,1043,165,726,97,9,249,378,86,68,211,71,39,497,119,18,3,101,10,57,218,68,7,69,217,89,0,54,362,136,239,314,46,14,137,1054,389,110,373,25,9,154,100,33,15463,47.2,97.61,91.76,62.34
Amazon Prime Music,0,330,1,0,2,0,6,3,2,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,1,3,0,1,0,0,5,1,0,368,89.67,14.08,68.7,77.8
Amazon Prime Video,7,56,722,17,12,1,127,17,4,5,3,4,17,9,0,1,0,13,0,1,2,0,0,2,5,12,0,3,45,15,13,4,1,0,9,18,26,17,18,1,0,42,16,9,1274,56.67,40.45,75.64,64.79
Apple,8,34,1,1451,51,11,38,35,8,12,6,0,0,26,64,0,0,2,0,0,21,14,5,1,25,14,0,3,10,6,17,31,0,1,3,69,12,3,55,0,2,5,6,31,2081,69.73,45.8,61.9,65.58
Apple Music,0,5,1,34,411,0,14,11,1,1,0,0,0,4,0,1,0,3,0,0,0,3,0,1,2,3,0,0,7,0,1,5,0,0,1,26,2,0,1,1,0,5,2,4,550,74.73,35.46,80.17,77.35
BitTorrent,0,2,1,2,0,518,4,5,2,3,1,2,0,0,2,0,1,0,0,0,3,0,0,3,1,0,0,0,0,1,2,0,2,1,2,7,0,0,8,1,7,6,8,1,596,86.91,83.55,96.24,91.34
Dailymotion,34,137,124,136,12,0,2530,153,30,20,20,8,80,78,8,5,4,23,0,6,38,4,3,10,36,9,0,8,105,19,67,36,5,0,8,137,59,5,13,11,4,178,67,14,4244,59.61,60.2,54.66,57.03
Deezer,3,71,17,66,92,0,124,1482,13,58,3,4,6,84,33,3,18,9,1,1,12,2,1,15,2,11,0,7,40,3,12,39,8,3,9,77,6,2,15,1,0,22,16,24,2415,61.37,56.2,69.88,65.35
Discord,1,5,0,6,1,2,2,8,589,1,19,0,0,12,11,2,0,0,0,0,1,24,3,2,16,0,0,1,2,4,8,1,0,0,3,8,0,0,1,0,1,3,0,0,737,79.92,52.68,82.4,81.14
Dropbox,0,0,0,0,1,0,1,0,1,151,1,0,2,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,170,88.82,16.0,68.46,77.32
Facebook Messenger,0,1,1,0,1,3,11,0,3,7,1607,6,9,11,65,4,0,5,0,1,4,159,11,128,4,0,0,5,15,1,15,1,1,0,14,6,2,11,18,0,13,6,9,2,2160,74.4,48.35,59.03,65.83
Facebook TV,0,1,0,0,5,2,0,0,1,1,1,557,0,1,0,0,0,3,2,1,0,5,0,1,0,4,0,0,0,0,0,9,0,0,0,13,1,0,0,0,0,0,0,0,608,91.61,45.66,90.21,90.91
Gmail,0,1,0,1,0,0,5,0,0,0,7,0,370,10,1,3,0,0,3,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,16,0,1,0,0,0,1,3,0,428,86.45,31.6,80.12,83.16
Google,77,133,94,169,116,22,276,158,95,21,149,96,278,9958,1861,183,44,667,622,298,73,221,26,183,74,187,1,41,208,108,947,950,74,43,78,2549,261,65,196,8,31,3239,127,25,25032,39.78,82.5,39.09,39.43
